X;Strain;Ratio
1;Y55;0.75
1;xXx;0.25
1;Y55;0.75
1;xXx;0.25
1;Y55;0.75
1;xXx;0.25
1;Y55;0.75
1;xXx;0.25
2;Y55;0.404426695
2;xXx;0.595573305
2;Y55;0.507002687
2;xXx;0.492997313
2;Y55;0.41465267
2;xXx;0.58534733
2;Y55;0.380773416
2;xXx;0.619226584
3;Y55;0.582184157
3;xXx;0.417815843
3;Y55;0.723897255
3;xXx;0.276102745
3;Y55;0.906747467
3;xXx;0.093252533
4;Y55;0.426395742
4;xXx;0.573604258
4;Y55;0.341401081
4;xXx;0.658598919
4;Y55;0.354318044
4;xXx;0.645681956
4;Y55;0.346968718
4;xXx;0.653031282
5;Y55;0.436129459
5;xXx;0.563870541
5;Y55;0.502668049
5;xXx;0.497331951
5;Y55;0.461263012
5;xXx;0.538736988
5;Y55;0.507237698
5;xXx;0.492762302
6;Y55;0.441357701
6;xXx;0.558642299
6;Y55;0.298121958
6;xXx;0.701878042
6;Y55;0.3608035
6;xXx;0.6391965
6;Y55;0.379976203
6;xXx;0.620023797
7;Y55;0.356696364
7;xXx;0.643303636
7;Y55;0.374749241
7;xXx;0.625250759
7;Y55;0.520631817
7;xXx;0.479368183
7;Y55;0.464360093
7;xXx;0.535639907
