X;Source;Width;Height
1;Section;4276.089;64.496
1;Section;4383.319;80.054
1;Section;3670.288;58.404
1;Section;3666.039;56.526
1;Section;5936.226;42.201
1;Section;4671.017;29.202
1;Section;5843.992;46.76
1;Section;5857.246;64.818
1;Section;4276.089;53.599
1;Section;4383.319;56.641
1;Section;3670.288;40.599
1;Section;3666.039;20.961
1;Section;5936.226;22.803
1;Section;4671.017;23.057
1;Section;5843.992;30.977
1;Section;5857.246;17.714
1;Section;5586.458;57.974
1;Section;7018.589;32.248
1;Section;6826.631;51.934
1;Section;5442.687;43.748
1;Section;5621.324;29.694
1;Section;7589.272;35.429
1;Section;5380.441;27.05845042
1;Simulation;5034.980093;23.20267324
1;Simulation;5034.980093;23.20267324
1;Simulation;5034.980093;23.20267324
1;Simulation;5034.980093;23.20267324
1;Simulation;5034.980093;23.20267324
2;Section;6917.196;462.7588
2;Section;6957.506;486.9448
2;Section;6201.2904;1617.2372
2;Section;6398.0032;572.402
2;Simulation;6055.897716;301.6347521
2;Simulation;6519.95118;371.2427718
2;Simulation;5731.06029;417.6481183
2;Simulation;6380.735141;301.6347521
2;Simulation;6450.343161;278.4320789
3;Section;7247.738;619.1616
3;Section;6863.9868;633.6732
3;Section;7067.1492;651.4096
3;Section;7031.6764;722.3552
3;Simulation;7030.409992;510.4588113
3;Simulation;7007.207318;533.6614845
3;Simulation;6543.153854;649.6748507
3;Simulation;7262.436724;487.256138
3;Simulation;7216.031378;580.066831
4;Section;9172.9436;1023.874
4;Section;9134.246;994.8508
4;Section;9443.8268;981.9516
4;Section;9606.6792;1601.1132
4;Simulation;7842.503555;765.6882169
4;Simulation;7703.287516;812.0935634
4;Simulation;7378.45009;812.0935634
4;Simulation;8236.949;742.4855437
4;Simulation;8028.124941;765.6882169
5;Section;8616.6656;1135.1296
5;Section;9300.3232;1109.3312
5;Section;9297.0984;1188.3388
5;Section;9451.8888;1120.618
5;Simulation;8886.623851;1044.120296
5;Simulation;8492.178406;997.7149493
5;Simulation;8352.962366;1160.133662
5;Simulation;8747.407811;997.7149493
5;Simulation;8747.407811;1067.322969
6;Section;8924.634;1407.6252
6;Section;9034.2772;1257.672
6;Section;9339.0208;1246.3852
6;Section;9335.796;1259.2844
6;Simulation;9489.893355;1160.133662
6;Simulation;9605.906721;1183.336335
6;Simulation;9095.44791;1438.565741
6;Simulation;9443.488009;1299.349701
6;Simulation;9675.514741;1299.349701
7;Section;10464.476;1264.1216
7;Section;10885.3124;1323.7804
7;Section;9780.8184;1865.5468
7;Section;9777.5936;1323.7804
7;Simulation;10510.81098;1415.363068
7;Simulation;10580.419;1461.768414
7;Simulation;9837.933454;1554.579107
7;Simulation;10301.98692;1531.376434
7;Simulation;10534.01365;1531.376434
